ibdid,Effect,EffectVar,ModelFreq,WindowFreq,GeneFreq,GenVar,EffectDelta1,SDDelta1,t.like,shrink,chr,pos,file,trait,mode,tsf
2_220541327,-7.688,7.291528,0.824,0.8269,0.017,1.937539,-9.33057,5.80159,1.608,0.762,2,220541327,slurm-scripts/wholeset/asi_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/asi,1a2.mrkRes1,BPHmin
1_290959011,3.894,15.9634,0.2567,0.2637,0.151,3.88215,15.1684,15.0177,1.01,0.945,1,290959011,slurm-scripts/wholeset/dtp_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmax
3_15435161,-1.478,7.352644,0.1108,0.1185,0.073,0.2946935,-13.3407,13.7482,0.97,0.775,3,15435161,slurm-scripts/wholeset/dtp_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmax
3_167012614,3.757,11.36261,0.1694,0.1786,0.03,0.8094773,22.179,22.361,0.992,0.757,3,167012614,slurm-scripts/wholeset/dtp_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmax
6_27120319,-1.884,6.749739,0.1085,0.1167,0.043,0.2931807,-17.3603,18.0262,0.963,0.591,6,27120319,slurm-scripts/wholeset/dtp_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmax
8_123608854,1.204,5.808751,0.0873,0.0962,0.072,0.1937381,13.795,14.2847,0.966,0.774,8,123608854,slurm-scripts/wholeset/dtp_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmax
1_222716177,0.8875,3.124152,0.2289,0.2463,0.157,0.2082888,3.87716,3.89386,0.996,0.966,1,222716177,slurm-scripts/wholeset/dtp_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,BPHmax
1_262294090,-6.222,12.58943,0.9147,0.9167,0.271,15.30222,-6.80187,3.03941,2.238,0.936,1,262294090,slurm-scripts/wholeset/dtp_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,BPHmax
7_136374387,-5.391,13.07888,0.9264,0.9277,0.368,13.52052,-5.8191,2.56999,2.264,0.974,7,136374387,slurm-scripts/wholeset/dtp_BPHmax_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,BPHmax
10_137742170,1.24,13.26908,0.1166,0.1232,0.158,0.4084301,10.6374,10.9939,0.968,0.993,10,137742170,slurm-scripts/wholeset/dtp_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmin
2_44264660,2.273,10.32732,0.1075,0.1135,0.046,0.4555042,21.1456,21.9618,0.963,0.885,2,44264660,slurm-scripts/wholeset/dtp_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmin
3_141559516,2.557,18.51781,0.2276,0.2319,0.184,1.964744,11.2364,11.4134,0.984,0.993,3,141559516,slurm-scripts/wholeset/dtp_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmin
3_167012614,-17.26,74.42783,0.7008,0.7022,0.03,17.08335,-24.6289,18.2,1.353,0.966,3,167012614,slurm-scripts/wholeset/dtp_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmin
5_214081306,-25.57,88.39739,0.8645,0.8652,0.021,27.15658,-29.5816,16.46,1.797,0.965,5,214081306,slurm-scripts/wholeset/dtp_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmin
6_146788295,-0.701,10.76502,0.0797,0.1156,0.133,0.113557,-8.79504,9.06222,0.971,0.994,6,146788295,slurm-scripts/wholeset/dtp_BPHmin_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,BPHmin
1_262294090,8.958,27.21153,0.984,0.9841,0.271,31.72149,9.10357,2.35715,3.862,0.947,1,262294090,slurm-scripts/wholeset/dtp_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,BPHmin
1_35043673,2.572,5.623348,0.2049,0.2184,0.138,1.573075,12.5541,12.7935,0.981,0.792,1,35043673,slurm-scripts/wholeset/dtp_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,BPHmin
2_32038860,1.657,3.900533,0.1011,0.1103,0.034,0.1808289,16.39,17.3334,0.946,0.739,2,32038860,slurm-scripts/wholeset/dtp_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,BPHmin
5_180880796,1.232,2.977407,0.1221,0.1361,0.186,0.4591712,10.0935,10.4286,0.968,0.848,5,180880796,slurm-scripts/wholeset/dtp_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,BPHmin
5_185659006,1.382,3.110889,0.1003,0.1139,0.087,0.3035997,13.7742,14.3663,0.959,0.784,5,185659006,slurm-scripts/wholeset/dtp_BPHmin_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,BPHmin
7_124211450,-0.5648,0.6865062,0.2728,0.2812,0.223,0.1104346,-2.07023,2.05573,1.007,0.959,7,124211450,slurm-scripts/wholeset/dtp_MPH_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,MPH
10_27265675,-0.9623,1.963914,0.1767,0.1871,0.18,0.2737117,-5.44586,5.54375,0.982,0.984,10,27265675,slurm-scripts/wholeset/dtp_perse_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,perse
1_230199360,1.438,2.601033,0.2099,0.218,0.205,0.6732771,6.8528,7.0584,0.971,0.991,1,230199360,slurm-scripts/wholeset/dtp_perse_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,perse
1_263134315,-0.9526,2.128207,0.1802,0.2061,0.263,0.3516835,-5.28639,5.44145,0.972,0.991,1,263134315,slurm-scripts/wholeset/dtp_perse_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,perse
1_292277353,0.7134,1.263374,0.1062,0.1149,0.148,0.1287052,6.71771,6.94043,0.968,0.97,1,292277353,slurm-scripts/wholeset/dtp_perse_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,perse
1_44322928,-0.6567,1.551038,0.1549,0.2556,0.323,0.1887518,-4.23948,4.32032,0.981,0.99,1,44322928,slurm-scripts/wholeset/dtp_perse_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,perse
2_190408043,0.6794,1.377772,0.1337,0.1395,0.206,0.1510201,5.08136,5.19247,0.979,0.992,2,190408043,slurm-scripts/wholeset/dtp_perse_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,perse
3_185975707,-0.8399,1.516205,0.126,0.1312,0.184,0.2118948,-6.66557,6.87982,0.969,0.968,3,185975707,slurm-scripts/wholeset/dtp_perse_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,perse
8_118869879,1.251,2.506541,0.2339,0.2415,0.206,0.5120687,5.34844,5.45079,0.981,0.989,8,118869879,slurm-scripts/wholeset/dtp_perse_1a2.mrkRes1,slurm-scripts/wholeset/dtp,1a2.mrkRes1,perse
10_146968652,-0.5936,1.347467,0.1013,0.1125,0.246,0.1307757,-5.85949,6.0583,0.967,0.932,10,146968652,slurm-scripts/wholeset/dtp_perse_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,perse
1_207174350,1.211,3.126001,0.2372,0.2545,0.249,0.5483843,5.10332,5.12015,0.997,0.959,1,207174350,slurm-scripts/wholeset/dtp_perse_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,perse
4_22204592,-0.7346,1.885356,0.1234,0.1309,0.105,0.10169,-5.9532,6.13472,0.97,0.931,4,22204592,slurm-scripts/wholeset/dtp_perse_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,perse
5_74893868,-1.696,3.669149,0.2643,0.2886,0.136,0.6772363,-6.41568,6.39882,1.003,0.918,5,74893868,slurm-scripts/wholeset/dtp_perse_1d2.mrkRes1,slurm-scripts/wholeset/dtp,1d2.mrkRes1,perse
1_3893619,-1.072,8.618783,0.0975,0.1028,0.201,0.3690665,-10.9991,11.6357,0.945,0.99,1,3893619,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
2_51098756,8.136,44.40261,0.3941,0.3985,0.017,2.266334,20.6434,19.5237,1.057,0.97,2,51098756,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
3_157018798,1.261,6.4231,0.0564,0.0636,0.036,0.1115205,22.3663,23.7786,0.941,0.967,3,157018798,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
3_170423429,-11.14,78.19216,0.655,0.6574,0.02,4.792024,-17.0068,13.3561,1.273,0.973,3,170423429,slurm-scripts/wholeset/dts_BPHmax_1a2.mrkRes1,slurm-scripts/wholeset/dts,1a2.mrkRes1,BPHmax
